Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotAtt/90,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonCmp/90,PasLonAtt,PasLonAtt/90,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,Tkl/90,TklWon,TklWon%,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkSh/90,BlkPass,Int,Int/90,Tkl+Int,Clr,Clr/90,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon/90,AerLost,AerDuels/90,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,19,1596,17.7,1,1.53,0.28,18.5,0.04,0.2,19,0.11,0,0,23.2,31,1.751412429,74.9,293,85.7,13.3,16.2,81.9,5.93,7.74,76.6,0.9,0.05084745763,2.37,0.1338983051,38.1,0.11,1.75,1.75,0.45,0.11,3.22,31,28.1,2.88,0.96,0.17,0,2.54,0.23,1.47,0.68,0.62,0.06,23.2,0,0.85,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0,0,0.06,0,0.06,1.64,0.09265536723,0.51,31.10,0.45,0.9,0.28,0.51,1.47,34.6,0.96,1.69,0.11,0.006214689266,1.58,0.06,0.003389830508,1.69,0.28,0.01581920904,0.06,44,0.4,4.35,19,21.5,2.49,44,3.73,1.19,31.8,1.75,47,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0,0,0.62,2.26,0.17,2.54,0.51,0,0,0,4.86,0.34,1.19,1.53,22.2
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,22,0,0.86,0.05,5.3,0,0,13.5,0,0,0,38.5,47.2,2.145454545,81.5,751.5,318.5,10.9,12.9,84.5,23.2,25.7,90.1,3.77,0.1713636364,7,0.3181818182,53.9,0.05,0.27,2.91,0.09,0,4.5,47.2,43.3,3.73,3.32,0,0.55,0.18,0.09,0,0,0,0,38.5,0.23,0.59,1.14,0.86,0,0,0.18,0,0.09,0.18,0.14,0,0,0.05,0,0,2.5,0.1136363636,1.59,63.60,1.45,1,0.05,1.32,1.68,78.4,0.36,2.23,0.77,0.035,1.45,2,0.09090909091,4.5,2.91,0.1322727273,0.05,59.2,6.23,27.5,29.5,2.73,1.09,59.2,0.68,0.32,46.7,0.36,53.3,40,234.2,125,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0,0,1.32,0.5,0.05,0.18,1.59,0,0,0,6.64,2.18,1.23,3.41,64
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,8,770,8.6,0,1.05,0.35,33.3,0,0,19.2,0,0,0,40,49.5,5.755813953,80.8,676,188.1,18.5,22,84.1,15.5,18.7,82.6,4.42,0.5139534884,5.93,0.6895348837,74.5,0,1.51,3.95,1.74,0.35,6.4,49.5,48.1,1.16,0.35,0.12,0.23,1.05,0.81,0,0,0,0,40,0.23,1.16,2.67,2.44,0,0,0.12,0,0.12,0,0,0,0,0,0,0,2.91,0.338372093,1.4,48.11,1.28,1.4,0.23,1.63,2.67,60.9,1.05,1.51,0.12,0.01395348837,1.4,0.93,0.1081395349,3.84,0.93,0.1081395349,0,62.6,0.93,11.4,36,17.4,1.16,62.6,3.84,2.09,54.5,1.51,39.4,48.5,298.5,151,2.56,2.56,0.47,2.09,1.05,43.4,5.93,0.12,0,0,1.74,1.28,0,1.05,1.4,0,0,0,8.14,0.93,1.05,1.98,47.1
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,20,1799,20,1,0.6,0.15,25,0.08,0.33,20.3,0,0,0,59.5,64.9,3.245,91.6,946.3,226.9,29.6,31.8,93.2,24.7,26.2,94.3,3.35,0.1675,4.3,0.215,77.9,0,0.5,6,0.55,0.1,5.6,64.9,63.1,1.4,1.3,0.05,0.2,0.35,0.1,0,0,0,0,59.5,0.35,0.4,1.6,1.35,0,0.1,0.1,0,0.05,0,0,0,0,0,0,0,1.5,0.075,0.8,53.33,0.55,0.85,0.1,0.85,1.3,65.4,0.45,1.3,0.35,0.0175,0.95,1.1,0.055,2.6,0.8,0.04,0,73.3,2.1,12,49.6,12.2,0.7,73.3,1.25,0.7,56,0.4,32,61,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0,0,2.45,1.35,0,0.35,0.8,0,0,0.05,6.6,0.5,0.5,1,50
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,15,1165,12.9,0,0.31,0,0,0,0,23.9,0,0,0,37.9,43.4,3.364341085,87.3,613.6,224.7,17.9,19.4,92.4,15.7,17.8,88.6,2.64,0.2046511628,3.95,0.3062015504,66.7,0.08,0.62,3.88,0.39,0,5.04,43.4,42.6,0.78,0.78,0.39,0.16,0.23,0,0,0,0,0,37.9,0.08,0.31,1.24,1.01,0.08,0,0.08,0,0.08,0.08,0.08,0,0,0,0,0,3.8,0.2945736434,2.02,53.16,2.64,1.16,0,1.32,3.26,40.5,1.94,1.4,0.23,0.01782945736,1.16,1.16,0.08992248062,4.96,1.55,0.1201550388,0,54.7,3.26,19.2,31.4,4.88,0.23,54.7,0.93,0.54,58.3,0.31,33.3,41,174.3,72.7,0.47,0.93,0,1.32,0.78,36.4,0.47,0.16,0,0,0.93,1.01,0,0.23,2.02,0,0,0,6.51,0.31,0.39,0.7,44.4
6,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,20,30,300,66.7,310,90,10,10,100,10,10,100,0,0,10,100,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,10,100.00,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,50,0,20,20,10,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,10,0
7,Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,2,185,2.1,1,4.29,1.43,33.3,0.11,0.33,20.4,0,0,0,7.14,10,4.761904762,71.4,139.5,40,1.43,2.38,60,4.76,5.24,90.9,0.48,0.2285714286,0.95,0.4523809524,50,0,0,0.48,1.43,0.48,1.9,10,9.05,0.95,0,0,0,0.95,0,0,0,0,0,7.14,0,0.48,0.48,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0.680952381,0.48,33.57,0,0.95,0.48,0,0.95,0,0.95,0.48,0,0,0.48,0.48,0.2285714286,1.9,0.48,0.2285714286,0,25.7,0.48,1.43,11.4,12.9,6.67,25.7,1.43,0.48,33.3,0.95,66.7,17.1,97.1,10.5,1.43,0,0.95,7.62,3.33,19,6.67,0,0,0,0.95,1.43,0.48,0.95,0.48,0,0,0,0.48,1.43,1.43,2.86,50
8,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,0,107,1.2,1,5,1.67,33.3,0.17,0.5,12.2,0,0,0,5.83,12.5,10.41666667,46.7,107.5,25,2.5,5,50,2.5,3.33,75,0.83,0.6916666667,0.83,0.6916666667,100,0,1.67,0.83,0.83,0,1.67,12.5,12.5,0,0,0.83,0,1.67,0,0,0,0,0,5.83,0,0.83,5.83,1.67,0,0,2.5,0.83,0.83,1.67,0,0,0,0,0.83,0.83,0.83,0.6916666667,0.83,100.00,0,0,0.83,0.83,0.83,100,0,0.83,0,0,0.83,1.67,1.391666667,2.5,0.83,0.6916666667,0,30.8,0.83,0.83,12.5,18.3,12.5,30.8,0,0,0,0,0,22.5,145,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,0,0,0,2.5,4.17,0.83,1.67,0.83,0.83,0,0,1.67,0.83,3.33,4.16,20
9,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,3,0,0.67,0.33,50,0,0,7.8,0,0,0,39,54.3,18.1,71.8,590,265.3,20.7,23.3,88.6,13.3,20,66.7,2.33,0.7766666667,5.67,1.89,41.2,0,0,3,0.33,0,3.33,54.3,42.3,11.7,0.33,0,0.67,1.33,11.3,0,0,0,0,39,0.33,2.33,1,0.67,0,0.33,0,0,0,0.33,0.33,0,0,0,0,0,2.67,0.89,2.33,87.27,2.33,0.33,0,2,2.33,85.7,0.33,1.33,0.67,0.2233333333,0.67,2,0.6666666667,4.67,2.67,0.89,0,65.7,4.67,20.7,30.7,15,1.67,65.7,1.33,0.33,25,1,75,30.3,112.7,67.3,0.67,0.67,0.33,1,0.67,35,3.67,0,0,0,0.67,0.67,0,1.33,2.33,0,0,0,6,1,2,3,33.3
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,17,1507,16.7,5,2.75,1.02,37,0.11,0.29,18.1,0,0,0,17.6,25.3,1.51497006,69.7,219.5,49.6,11.7,14.9,79,4.43,6.17,71.8,0.24,0.01437125749,0.84,0.0502994012,28.6,0.24,0.54,0.78,0.42,0.06,1.8,25.3,24.3,0.84,0.06,0.06,0,0.96,0.78,0,0,0,0,17.6,0.18,1.56,2.34,1.32,0,0.18,0.36,0.42,0.06,0.24,0.12,0,0.06,0,0.06,0,1.14,0.06826347305,0.72,63.16,0.54,0.3,0.3,0.3,1.32,22.7,1.02,0.54,0.06,0.003592814371,0.48,0.84,0.0502994012,1.98,0.66,0.03952095808,0,38,0.96,5.45,14.6,18.7,4.97,38,3.17,1.02,32.1,1.86,58.5,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0,0,1.56,1.8,0.72,0.96,0.72,0,0,0,4.43,0.42,1.32,1.74,24.1
11,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,22,18,1582,17.6,6,2.67,1.25,46.8,0.13,0.27,11.6,0,0,0,13.7,20.1,1.142045455,68.6,194.8,49.3,8.13,10.4,78.1,4.03,6.42,62.8,0.91,0.05170454545,1.31,0.07443181818,69.6,0.17,1.42,0.63,0.63,0.06,2.1,20.1,18.4,1.48,0.06,0.11,0.06,0.28,0.06,0,0,0,0,13.7,0.17,0.28,3.07,1.99,0,0.23,0.57,0.28,0,0.51,0.23,0,0.06,0.17,0.06,0,0.74,0.04204545455,0.4,54.05,0.17,0.34,0.23,0.23,0.68,33.3,0.45,0.51,0.23,0.01306818182,0.28,0.17,0.009659090909,0.91,0.45,0.02556818182,0,31.6,0.74,2.1,16.5,13.5,4.83,31.6,3.01,0.8,26.4,1.7,56.6,16.8,89.8,35.9,1.42,0.97,0.63,2.33,1.31,24.5,5,0.06,0,0,1.31,2.05,0.51,0.28,0.4,0.06,0,0,1.87,2.56,2.39,4.95,51.7
